S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
103,CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2019K,From 01/10/2021 to 30/9/2024,Community,South West,"Financial assistance, bursaries & scholarships"
104,Church Alive Ministries l.k.a Shalom Gospel Hall,Registered,S88SS0032J,Not Applicable,Religious,Christianity,
105,Church in Missions Association,Registered,S90SS0020H,Not Applicable,Religious,Christianity,
106,CHURCH OF CHRIST THE ROCK,Registered,T01SS0184F,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
107,"Church of Christ, North-East",Registered,S88SS0008C,Not Applicable,Religious,Christianity,
108,Church of Victory,Registered,S96SS0042G,Not Applicable,Religious,Christianity,Training & education
109,CIRCLE OF FRIENDS LIMITED,Registered,201433751W,Not Applicable,Social and Welfare,Children/Youth,Training & education
110,CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S95CC1101F,From 01/7/2021 to 30/6/2024,Community,South West,"Financial assistance, bursaries & scholarships"
111,Coalition Against Bullying for Children and Youth (CABCY),Registered,T05SS0272J,Not Applicable,Social and Welfare,"Children/Youth,Community","Public awareness, promotion & advisory Training & education Research"
112,"COLLEGE OF ANAESTHESIOLOGISTS, SINGAPORE",Registered,200410333E,Not Applicable,Health,,Training & education
113,"COLLEGE OF DENTAL SURGEONS, SINGAPORE",Registered,200815442W,Not Applicable,Health,,Training & education
114,"COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS, SINGAPORE",Registered,200410332N,Not Applicable,Health,,Training & education
115,"COLLEGE OF PAEDIATRICS AND CHILD HEALTH, SINGAPORE",Registered,200410329W,Not Applicable,Health,,Training & education
116,"COLLEGE OF RADIOLOGISTS, SINGAPORE",Registered,200410338Z,Not Applicable,Health,,Training & education
117,COMMUNITY CONCERN SERVICES,Registered,T04SS0147L,Not Applicable,Social and Welfare,Community,Supports other Charities
118,COMMUNITY CULTURAL DEVELOPMENT (SINGAPORE) LTD.,Deregistered,201227165G,Not Applicable,Arts and Heritage,Others,Training & education Research
119,COMPASS LIFE,Registered,T13SS0112C,Not Applicable,Social and Welfare,Family,Training & education
120,Concern & Care Society,Registered,T01SS0058F,From 01/2/2021 to 31/1/2023,Health,"Other Community-based Services,Others",Direct Services
121,CONGRESS TRUST FUND OF THE OBSTETRICAL AND GYNAECOLOGICAL SOCIETY OF SINGAPORE,Registered,S84CC0107E,Not Applicable,Health,,Training & education
122,Cornerstone Evangelical Baptist Church,Registered,S98SS0130L,Not Applicable,Religious,Christianity,Direct Services Training & education
123,Cornerstone Restoration Centre,Registered,T03SS0047D,Not Applicable,Religious,Christianity,
124,Covenant Vision Christian Mission,Deregistered,T00SS0049C,Not Applicable,Religious,Christianity,
125,CRESCENT GIRLS' SCHOOL ALUMNAE ASSOCIATION TRUST FUND,Registered,S90CC0731F,Not Applicable,Education,Foundations & Trusts,
126,CROHN'S & COLITIS SOCIETY OF SINGAPORE,Registered with IPC,T12SS0090L,From 03/12/2022 to 02/12/2025,Health,Diseases/Illnessess Support Group,
127,Culture Regeneration Research Society,Registered,T00SS0181B,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,Direct Services
128,CURIOUS THOUGHTS GIVING LIMITED,Registered,201718734C,Not Applicable,Social and Welfare,"Children/Youth,Eldercare","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
129,D'ARTISTES,Deregistered,T06SS0069K,Not Applicable,Arts and Heritage,Training & Education,Training & education
130,DAS INTERNATIONAL SERVICES LTD.,Registered,201111119G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
131,DAVID COLVIN SCOTT FOUNDATION LIMITED,Registered,201202548N,Not Applicable,Social and Welfare,Community,
