S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
333,Leng Kwang Baptist Church,Registered,S64SS0021D,Not Applicable,Religious,Christianity,
334,Leong Nam Temple,Registered,S91SS0007H,Not Applicable,Religious,Taoism,Supports other Charities
335,LEONG SAN BUDDHIST TEMPLE,Registered,S94CC1027G,Not Applicable,Religious,Buddhism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
336,Leukemia and Lymphoma Foundation,Registered with IPC,T02SS0150A,From 26/6/2020 to 25/6/2023,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
337,LI FOUNDATION LIMITED,Registered,202038445W,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Family,Support Groups",Grantmaking
338,"Life Church and Missions, The",Registered,T01SS0039C,Not Applicable,Religious,Christianity,Direct Services
339,LIFE SCC LTD.,Registered,201022078H,Not Applicable,Social and Welfare,Children/Youth,
340,LIFE! COMMUNITY DEVELOPMENT LTD.,Registered,200415547M,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Training & education"
341,LIGHT OF CHRIST CHURCH WOODLANDS,Exempt Charity,T08CC4071D,Not Applicable,Religious,Christianity,
342,LIGHTHOUSE SCHOOL,Registered,T02CC1619F,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
343,Limbang CCC CDWF,Registered with IPC,T16CC0002E,From 01/7/2021 to 30/6/2024,Community,North West,"Direct Services Financial assistance, bursaries & scholarships"
344,LIMITLESS (LTD.),Registered with IPC,201713769M,From 18/5/2022 to 17/5/2023,Social and Welfare,Support Groups,"Direct Services Research Training & education Public awareness, promotion & advisory"
345,Lions Community Service Foundation (Singapore),Registered with IPC,T03SS0068K,From 01/12/2022 to 31/5/2023,Social and Welfare,Community,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
346,LIVING HOPE METHODIST CHURCH,Registered,S92CC0893G,Not Applicable,Religious,Christianity,
347,LIVING PRAISE PRESBYTERIAN CHURCH,Registered,T12SS0187B,Not Applicable,Religious,Christianity,
348,"Living Word Fellowship, The",Registered,S97SS0007E,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
349,Logos Christian Church,Registered,S89SS0079F,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
350,LOO GEOK ENG FOUNDATION LIMITED,Registered,201025285G,Not Applicable,Education,Foundations & Trusts,
351,Lord Buddha Temple,Registered,S92SS0001D,Not Applicable,Religious,Buddhism,
352,"LOVE, NILS LTD.",Registered with IPC,201724930Z,From 22/4/2022 to 21/4/2024,Health,Other Community-based Services,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
353,Loving Heart Multi-Service Centre,Registered with IPC,T03SS0014A,From 01/5/2023 to 31/3/2025,Social and Welfare,"Community,Eldercare,Family",Direct Services
354,LOVING HEART MULTI-SERVICE CENTRE (JURONG),Registered with IPC,T04SS0129D,From 01/5/2023 to 31/12/2025,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Grantmaking Training & education"
355,LUTHERAN CHILD CARE CENTRE,Registered,S94CC1043L,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships Training & education"
356,Lutheran Church in Singapore,Registered,S66SS0017G,Not Applicable,Religious,Christianity,
357,LYCEE FRANCAIS DEVELOPMENT FUND,Deregistered,T09CC0003B,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
358,MACPHERSON CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S95CC1109G,From 01/7/2021 to 30/6/2024,Community,South East,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
359,MAHABODHI MONASTERY,Registered,S95SS0152J,Not Applicable,Religious,Buddhism,
360,Mahakaruna Buddhist Society,Registered,S89SS0021B,Not Applicable,Religious,Buddhism,Supports other Charities
361,"Mahaprajna Buddhist Society, The",Registered,S85SS0099G,Not Applicable,Religious,Buddhism,Training & education
362,MAJOR JOHN LONG TRUST FUND,Registered,S98CC1332C,Not Applicable,Others,General Charitable Purposes,
363,MAMRE OAKS LIMITED,Registered with IPC,201526053M,From 01/3/2022 to 28/2/2025,Social and Welfare,Disability (Adult),Direct Services
364,MAN FUT TONG LIN CHEE CHENG SIA TEMPLE,Registered,S87SS0003G,Not Applicable,Religious,Buddhism,Direct Services
365,MANDAI NATURE FUND LTD.,Registered with IPC,200823204E,From 01/10/2021 to 30/9/2023,Others,"Animal Welfare,Environment","Grantmaking Public awareness, promotion & advisory Research"
366,Mangala Vihara (Buddhist Temple),Registered,S69SS0022C,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
367,MAR THOMA SYRIAN CHURCH IN SINGAPORE,Registered,S86CC0315K,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
368,Maranatha Bible Presbyterian Church,Registered,S96SS0061K,Not Applicable,Religious,Christianity,
369,Maranatha Christian Assembly,Registered,S90SS0017H,Not Applicable,Religious,Christianity,Training & education
370,MARINE PARADE LEADERSHIP FOUNDATION,Registered with IPC,T08CC2092F,From 01/12/2020 to 30/11/2023,Others,Children/Youth,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
371,MARSILING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2016L,From 01/6/2020 to 30/6/2023,Community,North West,"Financial assistance, bursaries & scholarships"
372,MARY STOTT FUND,Registered,S90CC0770H,Not Applicable,Others,General Charitable Purposes,
373,MARYMOUNT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T05CC1908D,From 01/1/2021 to 31/12/2023,Community,Central,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
374,MEE TOH FOUNDATION LIMITED,Registered,201603910W,Not Applicable,Religious,Buddhism,
375,MERCY CENTRE LTD.,Registered,201227952W,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",Direct Services Training & education
376,MERCYLIGHT ANIMAL RESCUE AND SANCTUARY LIMITED,Registered with IPC,201502278Z,From 24/1/2022 to 23/7/2023,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Training & education"
377,METHODIST CHURCH OF THE INCARNATION,Registered,S92CC0906G,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
378,Migrant Workers' Assistance Fund,Registered with IPC,T12CC0003C,From 21/3/2022 to 20/3/2025,Social and Welfare,Community,
379,MILK (Mainly I Love Kids) Fund,Registered with IPC,T04SS0150L,From 01/7/2021 to 31/12/2023,Social and Welfare,Family,"Grantmaking Financial assistance, bursaries & scholarships"
380,MORIAH ASSEMBLY OF GOD LTD.,Registered,198003337E,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
381,Motor Sports Singapore,Registered,S69SS0025B,Not Applicable,Sports,NSAs,"Public awareness, promotion & advisory"
382,Mount Hermon Bible-Presbyterian Church,Registered,S88SS0035H,Not Applicable,Religious,Christianity,
383,Mount Horeb Bible-Presbyterian Church,Registered,T05SS0204K,Not Applicable,Religious,Christianity,Direct Services
384,MUHAMMADIYAH HEALTH & DAY CARE CENTER,Registered with IPC,T13CC0002A,Not Applicable,Health,,"Direct Services Training & education Public awareness, promotion & advisory"
385,Mun San Fook Tuck Chee,Registered,S83SS0007D,Not Applicable,Religious,Taoism,"Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
386,MUSCULAR DYSTROPHY ASSOCIATION (SINGAPORE),Registered with IPC,T00SS0094D,From 12/7/2022 to 11/7/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
387,MUSICAL THEATRE LTD.,Registered with IPC,200614780G,From 14/11/2022 to 13/11/2024,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Training & education"
388,Muslim Kidney Action Association (MKAC Association),Registered,T04SS0068D,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory"
389,My Community,Registered,T10SS0125C,From 13/6/2021 to 12/9/2021,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Training & education Research"
390,My Saviour's Church,Exempt Charity,T08CC4073G,Not Applicable,Religious,Christianity,Training & education
391,NAM HONG WELFARE SERVICE SOCIETY,Registered with IPC,T07SS0086D,From 08/1/2022 to 07/1/2025,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
392,NAM HWA OPERA LIMITED,Registered with IPC,201504648M,From 01/12/2022 to 30/11/2024,Arts and Heritage,"Historical & Cultural Conservation,Traditional Ethnic Performing Arts","Public awareness, promotion & advisory Supports other Charities Training & education"
393,NANYANG CITIZEN'S CONSULTATIVE COMMITTEE WELFARE AND EDUCATION FUND,Registered with IPC,T07CC2021C,From 01/6/2020 to 30/6/2023,Community,South West,"Financial assistance, bursaries & scholarships"
394,National Arthritis Foundation,Registered with IPC,S84SS0010J,From 05/12/2022 to 04/12/2025,Health,Diseases/Illnessess Support Group,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory"
395,"National Book Development Council of Singapore, The",Deregistered,S68SS0042H,Not Applicable,Arts and Heritage,"Literary Arts,Training & Education","Public awareness, promotion & advisory Training & education"
396,National First Aid Council,Deregistered,T01SS0078E,Not Applicable,Health,Others,
397,NATIONAL HEALTHCARE GROUP ENDOWMENT FUND,Deregistered,T01CC1492K,Not Applicable,Health,,"Financial assistance, bursaries & scholarships Training & education Research"
398,NATIONAL HERITAGE FUND,Registered with IPC,T03CC1717K,From 01/8/2022 to 31/7/2025,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory"
399,"National Youth Achievement Award Association, The",Registered with IPC,S91SS0104L,From 01/2/2023 to 31/1/2025,Others,"Children/Youth,Environment","Training & education Public awareness, promotion & advisory"
400,National Youth Fund,Registered,T14CC0006A,Not Applicable,Others,Children/Youth,"Grantmaking Public awareness, promotion & advisory Supports other Charities Training & education Research"
401,Nature Society (Singapore),Registered with IPC,S61SS0142H,From 01/9/2022 to 31/8/2024,Others,Environment,"Public awareness, promotion & advisory Training & education Research"
402,NCC RESEARCH FUND,Registered with IPC,T05CC1897G,From 19/8/2020 to 18/8/2023,Health,,Grantmaking Research
