S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
702,TRIATHLON ASSOCIATION OF SINGAPORE,Registered with IPC,S92SS0052C,From 28/2/2023 to 27/2/2026,Sports,"Competitive Sports,Disability Sports,NSAs,Others,Youth Sports","Direct Services Training & education Public awareness, promotion & advisory"
703,True Jesus Church (Adam Road),Registered,S90SS0027B,Not Applicable,Religious,Christianity,Direct Services
704,True Jesus Church (Sembawang),Registered,T03SS0084C,Not Applicable,Religious,Christianity,
705,True Jesus Church (Telok Kurau),Registered,S61SS0030J,Not Applicable,Religious,Christianity,Direct Services
706,TRUE WAY PRESBYTERIAN CHURCH,Registered,T12SS0174J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
707,Truth Bible-Presbyterian Church,Registered,T06SS0020D,Not Applicable,Religious,Christianity,
708,Tung Ling Community Services,Registered,T03SS0069F,Not Applicable,Social and Welfare,"Community,Eldercare",Direct Services
709,Tung Ling Student Care Centre,Registered,T00SS0054F,Not Applicable,Social and Welfare,"Family,Support Groups",Training & education
710,Ubin Thai Buddhist Temple,Registered,T03SS0236G,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
711,ULU PANDAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0308D,From 01/4/2021 to 31/3/2024,Community,North West,"Financial assistance, bursaries & scholarships"
712,United Hebrew Congregation (Singapore),Registered,S95SS0034L,Not Applicable,Religious,Others,Direct Services
713,UNLV SINGAPORE LIMITED,Registered,200510909D,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
714,Uttamayanmuni Buddhist Temple,Registered,T08SS0022F,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory Training & education"
715,VANGUARD HEALTH FUND LIMITED,Registered with IPC,201702537H,From 11/8/2022 to 10/8/2024,Health,Nursing Home,"Financial assistance, bursaries & scholarships Supports other Charities"
716,VERBUM DEI LIMITED,Registered,201413066G,Not Applicable,Religious,Christianity,Direct Services Training & education
717,Voices For Animals,Registered,T14SS0132G,Not Applicable,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
718,Volleyball Association of Singapore,Registered with IPC,S61SS0181K,From 20/2/2021 to 19/2/2024,Sports,NSAs,
719,Wah Sua Keng Temple,Registered,S88SS0043K,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
720,WAN MIN COMMUNITY SERVICES,Registered,T02SS0215G,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Supports other Charities Training & education"
721,Waterways Watch Society,Registered with IPC,S99SS0038D,From 01/12/2021 to 30/11/2023,Others,Environment,Training & education
722,WEST COAST HOCK TECK SI,Registered,S76SS0054J,Not Applicable,Religious,Buddhism,
723,WHAMPOA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0879F,From 01/1/2022 to 31/12/2024,Community,Central,"Financial assistance, bursaries & scholarships"
724,WICARE SUPPORT GROUP,Registered with IPC,S98SS0084G,From 29/4/2022 to 28/4/2024,Social and Welfare,Support Groups,Direct Services
725,Wind Bands Association of Singapore,Registered,T01SS0092F,Not Applicable,Arts and Heritage,Music & Orchestras,Training & education
726,Wing Tai Foundation,Registered,T10CC0007K,Not Applicable,Social and Welfare,Community,
727,WOODBRIDGE HOSPITAL CHARITY FUND,Deregistered,T01CC1489K,From 28/2/2021 to 27/2/2024,Health,,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
728,Woodgrove CCC CDWF,Registered with IPC,T11CC0004E,From 01/4/2022 to 31/3/2025,Community,North West,"Financial assistance, bursaries & scholarships"
729,WOODLANDS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2011J,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
730,WORD Community Church,Registered,T04SS0158A,Not Applicable,Religious,Christianity,Direct Services Training & education
731,WORLD FUTURE FOUNDATION LTD.,Registered,200816862W,Not Applicable,Others,Environment,
732,WORLD OUTREACH (SINGAPORE),Registered,S90SS0087K,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Training & education"
733,WORLD TOILET ORGANIZATION LIMITED,Registered,200205358C,Not Applicable,Others,Environment,"Public awareness, promotion & advisory Training & education"
734,WRESTLING FEDERATION OF SINGAPORE,Registered with IPC,T08SS0214H,From 01/2/2022 to 31/1/2025,Sports,NSAs,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
735,WYCLIFFE BIBLE TRANSLATORS (SINGAPORE) LTD,Registered,198306044C,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Training & education"
736,"WYCLIFFE BIBLE TRANSLATORS INTERNATIONAL, INC",Deregistered,T09FC0059A,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education Research"
737,Xian Gu Tian,Registered,S97SS0021F,Not Applicable,Religious,Taoism,Direct Services
738,Xin Yuan Community Care,Registered with IPC,T05SS0150E,From 01/10/2022 to 31/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Training & education"
739,Yan Kit Village Chinese Temple,Registered,S95SS0028A,Not Applicable,Religious,Taoism,Supports other Charities
740,YIO CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0460G,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
741,YIO CHU KANG GOSPEL HALL LTD,Registered,198502476C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
742,Yishun Christian Church (Council),Exempt Charity,T08CC4084H,Not Applicable,Religious,Christianity,
743,Yishun Evangelical Church,Registered,T02SS0001C,Not Applicable,Religious,Christianity,Direct Services
744,Yokoshi Tomo No Kai (Singapore),Registered,S84SS0051C,Not Applicable,Religious,Others,Direct Services
745,YOUNG PEOPLE'S PERFORMING ARTS ENSEMBLE LTD,Registered with IPC,199900287D,From 25/5/2022 to 24/11/2023,Arts and Heritage,Theatre & Dramatic Arts,
746,YOUTH GOLF NETWORK LTD.,Registered with IPC,201300853G,From 15/2/2023 to 14/2/2025,Sports,Non-NSAs,Training & education
747,Yuan Meng Shih Temple,Registered,S97SS0138G,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
748,YUHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T06CC1938B,From 01/7/2021 to 30/6/2024,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities"
749,Yun Teck Sian Tng Thong Sin Sia,Registered,S94SS0048F,Not Applicable,Religious,Buddhism,
750,Yung Kwang Presbyterian Church,Registered,S96SS0156J,Not Applicable,Religious,Christianity,
751,ZERO WASTE SG LIMITED,Registered,201528793W,Not Applicable,Others,Environment,"Public awareness, promotion & advisory Training & education Research"
752,Zhen Ren Gong Temple,Registered,S98SS0123E,Not Applicable,Religious,Taoism,
753,ZI JING CULTURAL CENTRE LTD.,Registered,201537410C,Not Applicable,Others,General Charitable Purposes,Training & education
754,Zion Home for the Aged,Registered,S86SS0033F,Not Applicable,Social and Welfare,Eldercare,Direct Services
755,Zion Living Streams Community Church,Registered,S98SS0054C,Not Applicable,Religious,Christianity,Direct Services
756,Zu-Lin Temple Association,Registered,S89SS0037E,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
